,CensusTract,State,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote
0,48001950100,TX,Anderson,9.4,80.2,8.8,1.0,0.2,0.0,3428,49700.0,6028.0,28002.0,6354.0,16.4,26.1,32.5,15.6,26.0,15.1,10.9,78.3,16.0,0.0,0.4,0.4,4.9,30.6,2105,76.7,18.3,4.8,0.2,4.2,27030,77,22,12,0.7520532741398446,45.12319644839067
1,48001950401,TX,Anderson,26.9,33.4,39.1,0.0,0.6,0.0,4824,41607.0,35361.0,3463.0,1649.0,36.6,25.9,30.4,32.4,21.6,2.7,12.8,79.1,4.7,0.0,16.2,0.0,0.0,9.0,148,36.5,61.5,2.0,0.0,18.2,27030,77,22,12,0.7520532741398446,45.12319644839067
2,48001950402,TX,Anderson,23.2,32.9,43.5,0.0,0.2,0.0,6494,77656.0,76560.0,2070.0,1336.0,18.1,0.0,28.3,39.4,5.1,0.0,27.3,83.8,0.0,0.0,0.0,0.0,16.2,8.6,99,72.7,27.3,0.0,0.0,0.0,27030,77,22,12,0.7520532741398446,45.12319644839067
3,48001950500,TX,Anderson,31.6,44.7,21.0,0.5,0.2,0.0,2822,30632.0,5499.0,16185.0,3001.0,32.6,47.7,25.3,31.9,16.7,13.0,13.1,90.3,6.6,1.1,0.0,0.7,1.3,19.3,1843,67.3,17.4,15.4,0.0,4.7,27030,77,22,12,0.7520532741398446,45.12319644839067
4,48001950600,TX,Anderson,18.1,50.3,29.6,0.2,0.1,0.0,4356,33750.0,7790.0,17593.0,2244.0,17.8,26.6,13.8,27.3,24.9,20.4,13.6,84.3,11.1,0.0,2.8,1.0,0.8,16.9,2918,76.8,20.4,2.8,0.0,4.0,27030,77,22,12,0.7520532741398446,45.12319644839067
5,48001950700,TX,Anderson,37.5,27.2,32.1,0.5,0.1,0.0,1571,30518.0,4691.0,14344.0,2692.0,33.4,39.0,7.6,23.9,27.4,23.5,17.7,79.1,14.8,0.6,1.8,0.7,3.1,15.9,921,81.5,9.0,9.4,0.0,9.6,27030,77,22,12,0.7520532741398446,45.12319644839067
6,48001950800,TX,Anderson,7.5,62.1,24.5,0.5,3.9,0.0,3561,51917.0,10078.0,26648.0,3763.0,16.6,29.8,26.5,35.6,25.3,6.5,6.1,88.0,8.1,0.0,0.8,2.6,0.5,15.0,2568,61.3,35.2,3.5,0.0,0.6,27030,77,22,12,0.7520532741398446,45.12319644839067
7,48001950901,TX,Anderson,14.4,72.1,11.3,1.2,0.5,0.0,4466,42065.0,6124.0,18162.0,2672.0,15.7,10.8,21.4,20.1,27.6,16.6,14.4,83.5,11.5,0.0,1.4,0.0,3.6,22.1,2214,68.8,25.4,5.8,0.0,4.9,27030,77,22,12,0.7520532741398446,45.12319644839067
8,48001950902,TX,Anderson,7.6,82.7,8.7,0.1,0.5,0.0,3642,37441.0,6318.0,23164.0,4283.0,17.0,25.7,26.3,22.6,20.5,14.5,16.2,83.2,16.1,0.0,0.0,0.0,0.8,19.7,1988,64.2,25.8,10.0,0.0,3.4,27030,77,22,12,0.7520532741398446,45.12319644839067
9,48001951000,TX,Anderson,8.0,86.6,3.9,0.5,0.0,0.1,5364,47819.0,10445.0,25816.0,2558.0,11.6,20.3,27.0,12.9,23.4,19.4,17.3,84.5,7.1,0.3,2.4,0.3,5.4,27.2,3275,75.4,18.7,5.9,0.0,3.4,27030,77,22,12,0.7520532741398446,45.12319644839067
10,48001951100,TX,Anderson,11.8,76.2,10.9,0.0,0.9,0.0,3583,45208.0,6197.0,23452.0,2677.0,15.1,17.7,22.0,28.7,23.2,8.6,17.5,85.8,9.7,0.7,0.6,0.9,2.4,27.5,1780,59.3,33.5,6.5,0.8,7.6,27030,77,22,12,0.7520532741398446,45.12319644839067
11,48003950100,TX,Andrews,25.6,68.6,1.2,0.6,2.9,0.0,1452,89028.0,12726.0,46876.0,12008.0,3.9,5.5,37.3,8.8,24.7,13.7,15.5,83.3,11.0,0.0,0.0,0.6,5.1,25.3,1068,83.8,8.8,6.2,1.2,1.2,9574,12,1,12,0.0150407353248381,0.9024441194902862
12,48003950200,TX,Andrews,53.6,44.1,1.4,0.3,0.0,0.0,4710,83750.0,17627.0,30341.0,2953.0,13.3,17.9,24.1,10.9,22.7,26.2,16.1,78.8,17.3,0.0,0.0,1.1,2.8,18.7,3552,87.4,8.6,3.6,0.4,4.6,9574,12,1,12,0.0150407353248381,0.9024441194902862
13,48003950300,TX,Andrews,65.7,28.3,0.6,0.0,0.0,0.0,2190,59063.0,9340.0,20451.0,3401.0,16.5,23.0,15.9,18.9,22.6,28.3,14.3,72.8,23.4,0.0,0.0,1.9,1.9,15.3,1906,78.3,11.0,10.7,0.0,2.5,9574,12,1,12,0.0150407353248381,0.9024441194902862
14,48003950400,TX,Andrews,52.9,45.0,1.9,0.0,0.0,0.0,1855,52219.0,14532.0,28532.0,5790.0,9.5,12.5,14.4,18.0,16.6,25.9,25.1,79.0,19.0,0.0,0.4,0.7,0.8,21.5,1397,78.1,10.7,10.1,1.1,6.0,9574,12,1,12,0.0150407353248381,0.9024441194902862
15,48005000101,TX,Angelina,9.6,87.1,2.9,0.0,0.0,0.0,4617,52564.0,11726.0,21092.0,2906.0,16.6,17.1,22.1,22.9,36.1,8.5,10.4,80.0,14.8,0.0,3.2,0.0,2.1,16.4,2673,68.7,26.3,5.1,0.0,6.3,51641,112,27,12,0.7026974690652776,42.16184814391666
16,48005000102,TX,Angelina,20.8,71.7,3.1,0.9,0.8,0.0,3050,51846.0,3191.0,21437.0,2703.0,10.5,11.9,28.5,25.9,18.8,8.3,18.6,78.4,17.6,0.0,2.6,0.5,0.9,22.4,2048,76.6,17.7,5.8,0.0,5.0,51641,112,27,12,0.7026974690652776,42.16184814391666
17,48005000200,TX,Angelina,19.4,66.3,11.3,0.0,2.4,0.0,4187,42670.0,9042.0,19218.0,2745.0,23.7,39.0,27.4,12.8,19.5,17.8,22.6,87.3,10.1,0.0,0.0,1.3,1.3,23.5,2669,81.8,10.6,7.6,0.0,10.7,51641,112,27,12,0.7026974690652776,42.16184814391666
