,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote,differenceFromNorm,white_professional_corr,Black_Service_corr,White_Carpool_corr,Professional_Hispanic_corr,Professional_Black_corr,Hispanic_Construction_corr,Black_Construction_corr,Professional_Construction_corr,Service_Construction_corr,White_Professional_corr,Service_Carpool_corr,Black_Hispanic_corr,Black_Carpool_corr,Professional_Service_corr,Service_Hispanic_corr,White_Black_corr,Professional_Carpool_corr,White_Construction_corr,White_Hispanic_corr,Hispanic_Carpool_corr,White_Service_corr,Construction_Carpool_corr
0,anderson,14.4,62.1,21.0,0.5,0.2,0.0,3642.0,42065.0,6318.0,18162.0,2677.0,17.0,25.9,26.3,27.3,23.4,14.5,14.4,83.8,9.7,0.0,0.8,0.4,2.4,19.3,1988.0,68.8,25.4,5.8,0.0,4.2,27030.0,77.0,22.0,12.0,0.7520532741398446,45.12319644839067,0.36895690988486685,0.6964307316476077,0.896209044448979,0.934917683661774,-0.021919426151090556,0.5323147930457586,-0.9083801256963175,-0.9884927538788715,-0.39813373168653254,-0.9530035705821887,0.6964307316476077,-0.32964730741154635,0.8346750651930223,0.12340191250521583,0.10151022185881986,0.9923704319803581,-0.2367817162068743,0.9057648086423981,0.38102360103023436,-0.7327169673636037,-0.44353276257274377,-0.64322229367101,0.028130150326810804
1,andrews,53.25,44.55,1.2999999999999998,0.15,0.0,0.0,2022.5,71406.5,13629.0,29436.5,4595.5,11.4,15.2,20.0,14.45,22.65,26.049999999999997,15.8,78.9,18.15,0.0,0.0,0.9,2.3499999999999996,20.1,1651.5,81.05,9.75,8.15,0.75,3.55,9574.0,12.0,1.0,12.0,0.015040735324838104,0.9024441194902862,,,,,,,,,,,,,,,,,,,,,,,
2,angelina,14.6,66.8,10.7,0.0,0.2,0.0,3699.0,42670.0,7046.0,21092.0,2703.0,16.9,25.0,24.0,20.3,21.5,10.4,17.6,83.3,12.2,0.0,1.1,1.3,1.3,17.2,2089.0,76.6,17.7,6.0,0.0,9.4,51641.0,112.0,27.0,12.0,0.7026974690652776,42.16184814391666,0.434445674900504,0.6118966897803647,0.42164871492265193,-0.6257661784807729,-0.6010219387537342,-0.3283518603875311,0.19590838418847542,-0.15103029854634412,-0.37444041865276645,0.10466213210021647,0.6118966897803647,0.592263408538166,0.035463855100303525,0.4577136674992904,-0.7671322483487756,0.6254997419881052,-0.6820968793224239,-0.5649785278632636,-0.01074294389656132,-0.7398069258698433,0.47813787567292715,-0.7186893694398494,0.20625334573630838
3,aransas,28.0,68.7,0.7,0.0,1.5,0.0,4773.0,38952.0,7042.0,29248.0,6313.0,15.3,41.2,25.1,17.9,21.9,18.2,10.7,78.7,9.1,0.0,2.6,1.1,5.2,22.2,2074.0,73.3,11.7,11.9,0.0,7.5,17333.0,15.0,3.0,12.0,0.031154445277793805,1.8692667166676282,1.3371291914505876,-0.2485245043589561,0.806445926460973,-0.725004676772199,0.25564872646896286,0.1841036682655298,0.5367208966852567,-0.3360342452350274,-0.09734625290381593,-0.5470657556014967,-0.2485245043589561,0.8395540435366868,0.5775589580545156,0.7919058865694729,0.4292722551664534,0.288081468754004,-0.9898836172601326,0.3359153605967217,0.21794168248230794,-0.6799641850277368,0.03982829861417959,-0.7838885236462086,-0.8103365483423648
4,archer,8.3,90.2,0.1,1.9,0.6,0.0,2239.0,51596.0,7650.0,30039.0,5061.0,9.8,7.0,28.7,14.3,20.6,17.1,14.0,86.3,7.5,0.0,1.2,0.6,4.4,19.9,1409.0,76.6,13.5,9.9,0.0,3.2,6320.0,29.0,8.0,12.0,0.44050632911392407,26.430379746835445,0.1627309667139446,0.3619253245461761,0.11492980920864462,-0.3557826194592628,-0.375654601443339,-0.21684827707175183,-0.3327964640113675,-0.44363205968109465,-0.23313597032093786,-0.16482679143309717,0.3619253245461761,0.18183878529699332,0.37794678401297066,-0.01712127858987379,-0.4049595385398965,0.6966489744451849,-0.44381498061992425,0.36840687378596176,0.3805519947754048,-0.9908121449365611,0.35786402405159773,-0.6535019003045358,-0.0828433737176717
5,armstrong,11.8,84.5,0.6,1.6,0.0,0.2,1534.0,59737.0,4968.0,28669.0,2241.0,6.9,4.3,39.2,12.1,20.1,20.9,7.8,74.4,14.7,0.0,1.8,1.6,7.5,25.3,954.0,65.6,24.4,9.5,0.4,1.1,1428.0,21.0,6.0,12.0,1.0588235294117647,63.529411764705884,,,,,,,,,,,,,,,,,,,,,,,
6,atascosa,67.45,29.75,0.6499999999999999,0.0,0.05,0.0,4524.0,49573.5,7857.5,21101.5,2825.0,18.1,27.75,20.55,22.7,23.0,20.299999999999997,13.55,76.45,15.600000000000001,0.0,1.45,0.0,4.25,28.950000000000003,2859.0,77.65,14.15,6.5,0.0,6.4,26434.0,98.0,21.0,12.0,0.9342513429673904,56.05508057804342,,,,,,,,,,,,,,,,,,,,,,,
7,austin,25.25,63.45,9.35,0.0,0.0,0.0,3486.5,51713.5,12217.0,26552.5,3655.0,11.45,19.1,31.0,15.45,21.25,13.55,14.95,80.75,11.95,0.0,0.75,0.8,5.2,30.95,2142.5,79.5,12.15,6.3,0.0,6.2,18907.0,63.0,18.0,12.0,0.7197334320621992,43.18400592373195,0.138435709404168,0.8808492238242024,0.8244599394764377,-0.829736437878515,-0.9626606849403518,-0.565210353846685,0.07182457901279171,-0.5484275046511911,-0.32900280712555713,-0.7534113435542118,0.8808492238242024,0.16869376061249133,0.7671579028981186,0.46899011234693483,-0.3263508822779974,0.5311181971882862,-0.8818718256015577,-0.9857635616684352,0.09744667565633096,-0.9726741051278173,0.9183288781931576,-0.6020804356312924,0.4603624393453623
8,bailey,60.1,37.5,1.9,0.1,0.4,0.1,3936.0,37397.0,8652.0,17007.0,2385.0,19.0,25.8,23.2,22.4,20.6,20.7,13.2,77.3,6.5,0.0,3.3,7.7,5.3,19.6,3191.0,75.3,19.1,5.6,0.0,4.3,3242.0,8.0,1.0,12.0,0.02961135101789019,1.7766810610734114,4.427793186880997,0.6618540120907642,0.5869334694959369,-0.11632587544391236,0.6576693511430268,-0.7617340261307137,0.3088350218829279,-0.7899190385692791,0.37837427111747923,-0.29240987559352427,0.6618540120907642,0.3098639102095441,-0.4282815673788281,0.2648149115836917,-0.504756738969664,-0.13414681413127189,-0.9701419158913362,-0.753147437458706,0.8262373353841921,0.2421703671580378,-0.7938524461739397,-0.5460921445268305,-0.06591562375945999
9,bandera,16.0,80.2,0.1,0.0,0.1,0.0,3419.0,49813.0,11335.0,27217.0,3782.0,13.2,25.6,34.5,15.7,18.2,16.8,6.3,82.3,10.1,0.0,2.3,0.4,5.4,28.3,2116.0,69.8,17.9,9.6,0.2,5.5,15333.0,32.0,10.0,12.0,0.2504402269614557,15.026413617687341,,,,,,,,,,,,,,,,,,,,,,,
10,bastrop,25.5,63.05,5.2,0.15,0.05,0.0,4412.0,52743.5,8413.5,24195.5,3276.0,13.85,19.0,31.299999999999997,15.85,23.799999999999997,18.15,12.05,79.6,13.55,0.0,0.7,0.65,3.55,32.3,2991.0,72.05,19.5,7.75,0.0,7.85,47519.0,105.0,21.0,12.0,0.5568298996190997,33.40979397714598,-0.2958071935560176,0.8412220807857703,0.3774334944859346,-0.6577015324493646,-0.8595665034118656,-0.5239508726101715,0.6893446063240707,0.3774629162066572,-0.7687902473584926,0.4378337305458259,0.8412220807857703,0.5389105360792928,0.3790188722866461,0.3899336321607964,-0.7944323787253195,0.7751179573110283,-0.6453213234065938,-0.7144642348957584,-0.6407802495786031,-0.9098897084214665,0.6671441961240636,-0.7293689888580482,0.634461147454425
