,County,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,eff_score,minsPerVote
0,anderson,17.818181818181817,58.94545454545455,21.21818181818182,0.4090909090909091,0.6545454545454545,0.009090909090909092,20.990909090909085,24.50909090909091,23.736363636363638,26.4,0.2454545454545455,2.4,0.6000000000000001,3.5454545454545463,19.254545454545454,67.31818181818181,26.590909090909093,6.009090909090909,0.09090909090909093,5.509090909090909,0.7520532741398446,45.12319644839067
1,andrews,49.45,46.5,1.275,0.225,0.725,0.0,10.8,14.725,22.925,14.15,0.0,0.1,1.075,2.65,20.2,81.9,9.775,7.65,0.675,3.575,0.015040735324838104,0.9024441194902862
2,angelina,20.641176470588235,61.39411764705883,15.329411764705885,0.18235294117647055,1.1882352941176473,0.0,19.658823529411762,29.564705882352943,26.317647058823532,21.082352941176477,0.1411764705882353,1.447058823529412,1.641176470588235,1.4823529411764709,18.423529411764704,76.32941176470588,17.7235294117647,5.917647058823531,0.05882352941176471,9.33529411764706,0.7026974690652776,42.16184814391666
3,aransas,23.92,71.17999999999998,1.34,0.1,1.36,0.0,17.5,33.42,32.74,17.860000000000007,0.0,2.64,1.48,6.22,24.54,73.14,12.46,14.1,0.3,5.84,0.031154445277793805,1.8692667166676282
4,archer,7.7333333333333325,89.26666666666668,0.5333333333333333,1.2666666666666666,0.4666666666666666,0.0,9.766666666666667,10.6,33.766666666666666,13.800000000000002,0.0,0.7999999999999999,0.7000000000000001,4.666666666666667,21.66666666666667,76.53333333333333,13.866666666666667,9.433333333333332,0.16666666666666666,2.9666666666666663,0.4405063291139241,26.43037974683545
5,armstrong,11.8,84.5,0.6,1.6,0.0,0.2,6.9,4.3,39.2,12.1,0.0,1.8,1.6,7.5,25.3,65.6,24.4,9.5,0.4,1.1,1.0588235294117647,63.529411764705884
6,atascosa,66.13749999999999,31.9125,0.6125,0.075,0.2375,0.0,18.125,26.75,22.7625,21.725,0.05,1.5874999999999997,0.625,4.9625,29.8,77.275,15.15,7.45,0.1375,7.6,0.9342513429673904,56.05508057804342
7,austin,23.850000000000005,64.63333333333334,9.1,0.016666666666666666,0.0,0.0,11.583333333333336,19.466666666666672,31.18333333333333,15.683333333333332,0.06666666666666668,1.0666666666666669,1.4666666666666668,5.083333333333333,29.08333333333333,80.58333333333333,11.116666666666665,8.183333333333334,0.13333333333333333,5.816666666666666,0.7197334320621992,43.18400592373195
8,bailey,60.1,37.5,1.9,0.1,0.4,0.1,19.0,25.8,23.2,22.4,0.0,3.3,7.7,5.3,19.6,75.3,19.1,5.6,0.0,4.3,0.029611351017890187,1.7766810610734112
9,bandera,16.36,80.16,2.04,0.12,0.24,0.0,13.88,24.54,36.04,17.94,0.4,2.88,0.4,5.619999999999999,35.2,66.64,19.58,13.56,0.22000000000000006,4.74,0.2504402269614557,15.026413617687341
10,bastrop,34.27,56.09,7.26,0.36,0.6699999999999999,0.0,14.71,20.28,30.309999999999995,15.720000000000002,0.29,1.47,0.96,3.61,33.209999999999994,71.66,19.85,8.190000000000001,0.28,9.53,0.5568298996190997,33.40979397714598
11,baylor,8.9,86.4,1.9,0.0,0.0,0.0,11.9,2.2,37.6,12.0,0.0,0.5,1.2,1.4,13.0,62.0,16.6,21.5,0.0,1.4,0.1648068669527897,9.888412017167383
12,bee,55.871428571428574,37.885714285714286,5.571428571428571,0.35714285714285715,0.12857142857142856,0.0,18.814285714285713,28.571428571428577,20.142857142857142,24.800000000000004,0.028571428571428574,2.4714285714285706,1.3571428571428572,2.3000000000000003,26.12857142857143,68.89999999999999,22.542857142857148,8.12857142857143,0.4142857142857143,7.128571428571428,0.2946546622174652,17.679279733047913
13,bell,24.063492063492063,48.54920634920635,20.357142857142858,0.5142857142857143,2.4523809523809517,0.6714285714285714,17.688709677419354,25.529032258064515,29.02857142857143,21.15873015873016,0.30476190476190473,2.5253968253968258,1.806349206349206,3.1444444444444457,19.511111111111113,69.98412698412697,24.942857142857147,4.9365079365079385,0.14285714285714285,10.14126984126984,0.9792437782458436,58.75462669475062
14,bexar,59.97719780219778,28.737362637362647,6.889010989010988,0.2590659340659341,2.375,0.0346153846153846,18.474725274725273,25.612947658402195,32.37417582417581,20.716758241758228,3.3956043956043938,1.944230769230768,1.278021978021978,3.6917582417582415,24.38895027624311,79.54752747252749,14.66456043956044,5.689835164835168,0.09807692307692308,7.909890109890107,4.118189246373101,247.09135478238605
15,blanco,18.7,78.30000000000003,0.05,0.7,0.45,0.0,8.95,14.05,37.05,20.45,0.0,3.05,0.95,5.6,25.9,69.75,17.75,12.25,0.25,6.050000000000002,0.2553503729974318,15.321022379845907
16,borden,8.8,87.9,0.0,3.0,0.0,0.0,1.4,0.0,52.8,11.7,0.0,0.7,0.7,9.6,24.9,45.7,36.2,17.0,1.1,0.7,3.614754098360656,216.88524590163937
17,bosque,16.014285714285716,80.28571428571429,1.4714285714285715,0.3428571428571429,0.3857142857142857,0.0,14.757142857142856,21.957142857142852,27.957142857142852,18.585714285714285,0.1285714285714286,2.928571428571428,0.7714285714285714,4.614285714285714,29.685714285714287,75.4857142857143,12.514285714285714,11.72857142857143,0.2571428571428572,8.128571428571428,104.06355966909656,6243.813580145794
18,bowie,6.7,61.988888888888894,27.62777777777778,0.7111111111111111,0.7499999999999999,0.06666666666666668,21.372222222222227,30.716666666666665,27.16111111111111,22.805555555555557,0.8333333333333333,1.1,2.1944444444444446,2.3833333333333333,18.26111111111111,75.67222222222222,19.277777777777782,4.905555555555555,0.1277777777777778,9.177777777777779,0.9148072341710566,54.88843405026339
