County,CensusTract,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score
anderson,48001950673.27273,17.818181818181817,58.94545454545455,21.21818181818182,0.4090909090909091,0.6545454545454545,0.009090909090909092,4010.090909090909,44392.09090909091,15917.363636363636,18081.727272727272,3020.818181818182,20.990909090909085,24.50909090909091,23.736363636363638,26.4,21.972727272727276,12.754545454545456,15.172727272727276,83.62727272727273,9.60909090909091,0.2454545454545455,2.4,0.6000000000000001,3.5454545454545463,19.254545454545454,1805.3636363636365,67.31818181818181,26.590909090909093,6.009090909090909,0.09090909090909093,5.509090909090909,27030,77,22,12,0.7520532741398446
andrews,48003950250.0,49.45,46.5,1.275,0.225,0.725,0.0,2551.75,71015.0,13556.25,31550.0,6038.0,10.8,14.725,22.925,14.15,21.65,23.525,17.75,78.475,17.675,0.0,0.1,1.075,2.65,20.2,1980.75,81.9,9.775,7.65,0.675,3.575,9574,12,1,12,0.015040735324838104
angelina,48005000671.29412,20.641176470588235,61.39411764705883,15.329411764705885,0.18235294117647055,1.1882352941176473,0.0,3519.6470588235293,43349.41176470588,7595.941176470588,21679.823529411766,3677.470588235294,19.658823529411762,29.564705882352943,26.317647058823532,21.082352941176477,22.482352941176472,13.458823529411767,16.65294117647059,82.5764705882353,12.705882352941178,0.1411764705882353,1.447058823529412,1.641176470588235,1.4823529411764709,18.423529411764704,2128.3529411764707,76.32941176470588,17.7235294117647,5.917647058823531,0.05882352941176471,9.33529411764706,51641,112,27,12,0.7026974690652776
aransas,48007956916.66666,23.92,71.17999999999998,1.34,0.1,1.36,0.0,3148.5,49725.4,9247.8,33022.0,6141.6,17.5,33.42,32.74,17.860000000000007,22.58,17.0,9.78,79.0,10.62,0.0,2.64,1.48,6.22,24.54,1577.333333333333,73.14,12.46,14.1,0.3,5.84,17333,15,3,12,0.031154445277793805
archer,48009020200.0,7.7333333333333325,89.26666666666668,0.5333333333333333,1.2666666666666666,0.4666666666666666,0.0,2204.0,60725.0,9375.666666666666,29857.33333333333,4289.333333333333,9.766666666666667,10.6,33.766666666666666,13.800000000000002,21.866666666666664,15.766666666666666,14.8,86.46666666666668,7.400000000000001,0.0,0.7999999999999999,0.7000000000000001,4.666666666666667,21.66666666666667,1413.0,76.53333333333333,13.866666666666667,9.433333333333332,0.16666666666666666,2.9666666666666663,6320,29,8,12,0.4405063291139241
armstrong,48011950100.0,11.8,84.5,0.6,1.6,0.0,0.2,1534.0,59737.0,4968.0,28669.0,2241.0,6.9,4.3,39.2,12.1,20.1,20.9,7.8,74.4,14.7,0.0,1.8,1.6,7.5,25.3,954.0,65.6,24.4,9.5,0.4,1.1,1428,21,6,12,1.0588235294117647
atascosa,48013960338.25,66.13749999999999,31.9125,0.6125,0.075,0.2375,0.0,4034.0,49182.625,8320.625,21413.625,3430.75,18.125,26.75,22.7625,21.725,21.2125,19.9625,14.35,76.6625,16.1,0.05,1.5874999999999997,0.625,4.9625,29.8,2496.875,77.275,15.15,7.45,0.1375,7.6,26434,98,21,12,0.9342513429673904
austin,48015760333.833336,23.850000000000005,64.63333333333334,9.1,0.016666666666666666,0.0,0.0,3341.166666666666,53465.0,12924.833333333336,27446.66666666667,3842.0,11.583333333333336,19.466666666666672,31.18333333333333,15.683333333333332,20.966666666666665,14.4,17.766666666666666,80.71666666666665,11.566666666666668,0.06666666666666668,1.0666666666666669,1.4666666666666668,5.083333333333333,29.08333333333333,2247.1666666666665,80.58333333333333,11.116666666666665,8.183333333333334,0.13333333333333333,5.816666666666666,18907,63,18,12,0.7197334320621992
bailey,48017950100.0,60.1,37.5,1.9,0.1,0.4,0.1,3936.0,37397.0,8652.0,17007.0,2385.0,19.0,25.8,23.2,22.4,20.6,20.7,13.2,77.3,6.5,0.0,3.3,7.7,5.3,19.6,3191.0,75.3,19.1,5.6,0.0,4.3,3242,8,1,12,0.029611351017890187
bandera,48019000220.6,16.36,80.16,2.04,0.12,0.24,0.0,3329.6,49529.0,10306.8,26714.6,4018.4,13.88,24.54,36.04,17.94,21.48,17.02,7.540000000000001,80.42,10.260000000000002,0.4,2.88,0.4,5.619999999999999,35.2,1802.0,66.64,19.58,13.56,0.22000000000000006,4.74,15333,32,10,12,0.2504402269614557
