,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
229,Matanuska-Susitna Borough,AK,107610,40032,37409,6189,14622,14741,12610,8779,2981,1291,107610,95529,2489,12543,3481,475,1278,15241,16667,14489
337,Fairbanks North Star Borough,AK,98971,40154,32584,8641,18258,13878,10322,7346,2001,866,98971,80724,6804,11836,5448,1586,933,13829,13378,10452
336,Anchorage Municipality,AK,291538,108171,102769,20844,48609,38979,36646,21792,7961,3056,291538,208738,23253,39880,37640,9836,7976,41395,37470,34786
1,Morgan,AL,119089,42522,45605,7421,13754,14793,15950,12050,5867,2547,119089,92884,17794,807,1047,0,8200,15064,15228,16415
225,Cullman,AL,83442,30942,32494,4500,10274,10131,10843,9116,5570,855,83442,80522,1246,1210,903,0,1702,10127,10496,11530
226,Shelby,AL,215707,76757,83237,12128,26890,31044,30165,20352,9918,3025,215707,175797,29145,1401,5613,238,7546,25038,29152,27995
227,Talladega,AL,79828,29732,32748,4242,9867,10014,10796,8757,4392,1273,79828,51977,27916,693,0,0,0,8885,10426,11176
228,Tuscaloosa,AL,208911,75778,84947,19909,31177,24947,23240,16811,8124,2537,208911,136977,68197,1358,4125,0,476,23425,34915,23826
639,Lauderdale,AL,92387,34934,38195,7145,11317,10100,11718,10360,5897,2162,92387,81601,9825,803,869,0,356,9353,11486,12849
738,Jefferson,AL,659300,228974,267769,41548,95714,84162,80533,61976,31130,11594,659300,351092,288682,4517,13687,1100,12896,84400,81429,86814
737,DeKalb,AL,71385,24126,25751,4176,8645,8261,9548,7377,3342,1542,71385,61426,1348,1722,588,0,7583,7840,11200,9454
333,Calhoun,AL,114277,42180,46583,7451,16273,12608,13616,12240,6514,1761,114277,87105,25595,489,1594,0,2024,14300,13354,16160
334,Etowah,AL,102501,37529,41821,7116,12260,12232,13422,11519,5919,2194,102501,82862,18369,755,944,0,1476,12842,11174,13823
335,Lee,AL,163941,60796,63985,22390,21562,18918,19737,13335,4776,1776,163941,117409,39531,1147,7622,0,868,16703,27195,17549
440,Houston,AL,104722,37139,42202,6223,13763,12633,13289,11027,5909,1854,104722,74364,30168,701,1406,0,264,12702,13608,13714
441,Marshall,AL,96109,32924,35308,5520,10753,12141,12608,9344,5387,1756,96109,89353,3952,1158,768,0,2626,12745,13533,12322
442,Montgomery,AL,225763,77071,90223,15521,32789,28254,27604,20454,9947,3875,225763,81036,134342,1044,8041,0,4680,29472,29434,28413
541,Elmore,AL,81887,30034,32947,4847,12140,10087,11642,7550,3764,985,81887,62491,18388,838,707,0,1395,9689,10558,10625
542,Mobile,AL,413757,144389,167136,27026,58520,49083,50814,39373,20213,6972,413757,246521,152470,5748,10837,510,6174,51420,55100,55236
543,St. Clair,AL,88690,33499,34070,4265,11436,11349,12208,9027,4397,1336,88690,77414,9276,0,959,0,1761,11504,10942,12226
640,Limestone,AL,96174,35902,36314,3940,12815,13419,13074,9066,4233,1796,96174,76850,14044,1454,1840,0,3687,10457,14811,12563
111,Walker,AL,63711,23417,25845,3504,8068,7174,8229,7142,3760,1159,63711,58589,4401,693,0,0,1020,8124,7299,9252
110,Madison,AL,366519,134001,143688,23676,51828,45578,48567,32318,18013,5334,366519,257437,95120,6503,13292,1257,9033,44700,45471,51034
638,Baldwin,AL,218022,79962,88142,10426,23498,25990,30117,27152,13464,3827,218022,191157,20781,3442,3143,0,2798,20323,31582,31643
