id,state,county,place,q022004a,q022004a_nnn,q022004i,q022004i_nnn,q022004total,q022006a,q022006a_nnn,q022006i,q022006i_nnn,q022006total,q02comment,q03_nnn,q03comment,q03total,q04_nnn,q04comment,q04total,q05_nnn,q05comment,q05total,q06_nnn,q06comment,q06total,q07a,q07a_nnn,q07b,q07b_nnn,q07c,q07c_nnn,q07comment,q07d,q07d_nnn,q07e,q07e_nnn,q07total,q08a,q08a_nnn,q08b,q08b_nnn,q08c,q08c_nnn,q08comment,q08total,q09_nnn,q09comment,q09total,q25_nnn,q25comment,q25total,q26_nnn,q26comment,q26total,q27_nnn,q27comment,q27total,q28_nnn,q28comment,q28total,q29a,q29a_nnn,q29b,q29b_nnn,q29c,q29c_nnn,q29comment,q29d,q29d_nnn,q29e,q29e_nnn,q29f,q29f_nnn,q29fother,q29total
01000,Alabama,,,None,,None,,0,None,,None,,0,,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,0,None,,None,,None,,,0,,,None,,,None,,,None,,,None,,,None,None,,None,,None,,,None,,None,,None,,,0
01001,Alabama,Autauga County,,26180,,3544,,29724,26108,,3544,,29652,,Don't know,,None,Don't know,"Our office is currently without a Supervisor of Voter Registration.  Under Secretary Worley's administration, Robert White was the interim Supervisor.  He left abruptly in September, and Secretary Worley did not replace him.  Mr. White did not share his records with us, and all of his record keeping up to that time was lost. At this time, we still do not have a Supervisor. ",None,Don't know,,None,Don't know,,None,None,Don't know,None,Don't know,None,Don't know,,None,Don't know,None,Don't know,0,None,Don't know,None,Don't know,None,Don't know,,0,Don't know,,None,Don't know,,None,Don't know,,None,Don't know,,None,Don't know,,None,None,Don't know,None,Don't know,None,Don't know,,None,Don't know,None,Don't know,None,Don't know,,0
04011,Arizona,Greenlee County,,4519,,467,,4986,4208,,452,,4660,,Check if your office does not collect this data,,None,,,2260,,,2147,,,113,416,,125,,0,,,7,,1712,,2260,None,Check if your office does not collect this data,1800,,16,,,1816,,,523,,,807,,,153,,,115,,,114,544,,133,,37,,,None,,91,,2,,Incapacitated,807
04012,Arizona,La Paz County,,7235,,1256,,8491,7211,,1719,,8930,,Check if your office does not collect this data,,None,,,2371,,,1068,,,262,1009,,27,,1,,,0,,4,,1041,43,,281,,16,,,340,,,1442,,,4166,,,1049,,,177,,,872,162,,76,,14,,,143,,11,,1,,Incapacitated,407
04013,Arizona,Maricopa County,,1552421,,110393,,1662814,1484434,,315280,,1799714,,Check if your office does not collect this data,,None,,,698963,,,141025,,,557938,333283,,2140,,50,,,3522,,22909,,361904,19146,,301477,,3671,,,324294,,8a and 8c do not include military and FPCA card duplicate and dead-end totals.,219836,,,97561,,,10195,,Do not track the number of notices received back from these type of mailings.,None,,,304341,None,,17400,,5457,,29 a. Do not track when we are notified that a voter has moved out of our jurisdiction. 29 f. includes 116 incapacitated and 5783 other cancellation confirmations for numerous reasons. ,4410,,43015,,5899,,see comment box,76181
04015,Arizona,Mohave County,,95034,,3798,,98832,89939,,15954,,105893,,Check if your office does not collect this data,,None,,,23741,,,12322,,Tracking of counter registrations began September 2006.,15,8740,,169,,None,,,24,,2471,,11404,22,,7438,,None,,8. c.) Rejected counts not counted,7460,,,3246,,,768,,,503,Check if your office does not collect this data,,None,,,12156,456,,245,,39,,29. f.) 2 incapacitated and 22 duplicates,None,,4,,24,,see comment box,768
04017,Arizona,Navajo County,,57738,,4374,,62112,57348,,5120,,62468,,Check if your office does not collect this data,,None,,,7971,,,1905,,,123,3954,,99,,1,,,12,,63,,4129,None,,2962,,75,,,3037,,,2548,,,369,,,1706,,Data is incomplete due to a change in our voter registration system.,107,,Data is incomplete due to a change in our voter registration system.,250,145,,147,,37,,,None,,39,,None,,,368
04019,Arizona,Pima County,,448050,,61740,,509790,435391,,72286,,507677,,Check if your office does not collect this data,,None,,,206309,,,112705,,,40275,93604,,1155,,1083,,,431,,None,,96273,3341,,99254,,None,,,102595,,,49513,,,56547,,,75011,,,24936,,,50075,9143,,9434,,1186,,29 f.) 651 failed to provide valid residential address after using invalid business address to register.,27100,,9033,,651,,see comment box,56547
04021,Arizona,Pinal County,,91093,,17029,,108122,102799,,22036,,124835,,Check if your office does not collect this data,,None,,,31224,,,30037,,,1187,608,,7,,98,,,None,,28342,,29055,None,,3520,,None,,Duplicates and invalid or rejected stats are not available.,3520,,,31224,,,5621,,,2824,,,1153,,,19506,None,,None,,None,,Unable to get detailed information in the new system due to system conversion.,None,,None,,None,,,0
04023,Arizona,Santa Cruz County,,20791,,1356,,22147,21673,,547,,22220,,Check if your office does not collect this data,,None,,,5390,,,479,,,648,1287,,75,,None,,,4,,None,,1366,116,,201,,None,,Invalid or rejected is not counted.,317,,,2739,,,452,,,2797,,Do not track.,None,,,555,1158,,220,,None,,,1199,,21,,None,,,2598
04025,Arizona,Yavapai County,,99842,,10722,,110564,103042,,10080,,113122,,Check if your office does not collect this data,,None,,,8571,,,1245,,,171,3350,,19,,1,,,3,,418,,3791,138,,3973,,228,,,4339,,,5207,,,1234,,,612,,,341,,,10278,713,,308,,51,,"1 incapacitated, 33 added to system in error, 39 duplicates, 46 invalid proof of citizenship, 1 invalid residence address, 1 deleted from system",8350,,1,,121,,See comment box,9544
