q35_%dr,q35_%dd,q35_%dp,q35_%dc,q35_%dtotal,Col006
29185,House,None,Republican,Talent,2041
29185,Senate,None,Democratic,McCaskill,1924
29185,Senate,None,Libertarian,Gilmour,183
29185,,None,Progressive Party of Missouri,Lewis,84
29185,Senate,None,Write-in/Scattering,Barrett,0
29185,Senate,None,Write-in/Scattering,Shortland,0
29185,House,4,Republican,Noland,1158
29185,House,4,Democratic,Skelton,2962
29185,House,4,Libertarian,Holthouse,96
29186,Senate,None,Republican,Talent,2834
29186,Senate,None,Democratic,McCaskill,3800
29186,Senate,None,Libertarian,Gilmour,150
29186,Senate,None,Progressive Party of Missouri,Lewis,54
29186,House,3,Republican,Bertelsen,1870
29186,House,3,Democratic,Carnahan,4694
29186,House,3,Libertarian,Christophel,84
29186,House,3,Progressive Party of Missouri,Sladky,50
29187,Senate,None,Republican,Talent,8094
29187,Senate,None,Democratic,McCaskill,9781
29187,Senate,None,Libertarian,Gilmour,432
29187,Senate,None,Progressive Party of Missouri,Lewis,171
29187,Senate,None,Write-in/Scattering,Barrett,0
29187,Senate,None,Write-in/Scattering,Shortland,0
29187,House,None,Republican,Emerson,11753
29187,House,8,Democratic,Hambacker,6316
29187,House,8,Libertarian,McCullough,6316
29189,Senate,None,Republican,Talent,178720
29189,,None,Democratic,McCaskill,223264
29189,Senate,None,Libertarian,Gilmour,4747
29189,Senate,None,Progressive Party of Missouri,Lewis,2412
29189,Senate,None,Write-in/Scattering,Barrett,1
29189,Senate,None,Write-in/Scattering,Shortland,0
29189,House,1,Alaska Libertarian,Bryne,44
29189,House,1,Democratic,Clay,104513
29189,House,2,Libertarian,Millay,3066
29189,House,1,Libertarian,Cunningham,3836
29189,House,2,Republican,Akin,101951
29189,House,2,Democratic,Webb,54949
29189,House,3,Republican,Bertelesen,31882
29189,House,3,Democratic,Carnahan,57034
29189,House,3,Libertarian,Christophel,1522
29189,House,3,Progressive Party of Missouri,Sladky,732
29195,Senate,None,Republican,Talent,3547
29195,Senate,None,Democratic,McCaskill,3846
29195,Senate,None,Libertarian,Gilmour,312
29195,Senate,None,Progressive Party of Missouri,Lewis,101
29195,Senate,None,Write-in/Scattering,Barrett,0
29195,Senate,None,Write-in/Scattering,Shortland,0
29195,House,4,Republican,Noland,0
29195,,4,Democratic,Skelton,6477
29195,House,4,Libertarian,Holthouse,90
29197,Senate,None,Republican,Talent,754
29197,Senate,None,Democratic,McCaskill,703
29197,Senate,None,Libertarian,Gilmour,34
29197,Senate,None,Progressive Party of Missouri,Lewis,15
29197,Senate,None,Write-in/Scattering,Barrett,0
29197,Senate,None,Write-in/Scattering,Shortland,0
29197,House,6,Republican,Graves,845
29197,House,6,Democratic,Shettles,600
29197,House,6,Libertarian,Buck,21
29197,House,6,Progressive Party of Missouri,Yurkonis,8
29199,Senate,None,Republican,Talent,971
29199,Senate,None,Democratic,McCaskill,732
29199,Senate,None,Libertarian,Gilmour,37
29199,Senate,None,Progressive Party of Missouri,Lewis,16
29199,Senate,None,Write-in/Scattering,Barrett,0
29199,Senate,None,Write-in/Scattering,Shortland,0
29199,House,9,Republican,Hulshof,1072
29199,,9,Democratic,Burghard,604
29199,House,9,Libertarian,Hedrick,39
29199,House,9,Progressive Party of Missouri,Hastings,12
29201,Senate,None,Republican,Talent,7733
29201,Senate,None,Democratic,McCaskill,5211
29201,Senate,None,Libertarian,Gilmour,263
29201,Senate,None,Progressive Party of Missouri,Lewis,86
29201,Senate,None,Write-in/Scattering,Barrett,0
29201,Senate,None,Write-in/Scattering,Shortland,0
29201,Senate,8,Republican,Emerson,9857
29201,House,8,Democratic,Hambacker,3220
29201,House,8,Democratic,Hambacker,3220
29201,House,8,Libertarian,McCullough,246
29203,Senate,None,Republican,Talent,1412
29203,Senate,None,Democratic,McCaskill,1673
29203,Senate,None,Libertarian,Gilmour,164
29203,Senate,None,Progressive Party of Missouri,Lewis,38
29203,Senate,None,Write-in/Scattering,Barrett,0
29203,Senate,None,Write-in/Scattering,Shortland,0
29203,House,8,Republican,Emerson,2267
29203,House,8,Democratic,Hambacker,968
29203,House,8,Libertarian,McCullough,65
29205,Senate,None,Republican,Talent,1748
29205,Senate,None,Democratic,McCaskill,1208
29205,Senate,None,Libertarian,Gilmour,36
29205,Senate,None,Progressive Party of Missouri,Lewis,12
29205,Senate,None,Write-in/Scattering,Barrett,0
29205,Senate,None,Write-in/Scattering,Shortland,0
29205,House,9,Republican,Hulshof,1984
29205,House,9,Democratic,Burghard,956
29205,House,9,Libertarian,Hedrick,31
29205,House,9,Progressive Party of Missouri,Hastings,20
29207,Senate,None,Republican,Talent,5874
29207,Senate,None,Democratic,McCaskill,3962
29207,Senate,None,Libertarian,Gilmour,254
29207,Senate,None,Progressive Party of Missouri,Lewis,73
29207,House,8,Republican,Emerson,7778
29207,House,8,Democratic,Hambacker,2413
29207,House,8,Libertarian,McCullough,162
29209,Senate,None,Republican,Talent,7295
29209,Senate,None,Democratic,McCaskill,4533
29209,Senate,None,Libertarian,Gilmour,427
29209,Senate,None,Progressive Party of Missouri,Lewis,174
29209,House,7,Republican,Blunt,8541
29209,House,7,Democratic,Truman,3450
29209,House,7,Libertarian,Craig,364
29211,Senate,None,Republican,Talent,1273
29211,Senate,None,Democratic,McCaskill,1026
29211,Senate,None,Libertarian,Gilmour,78
29211,Senate,None,Progressive Party of Missouri,Lewis,26
29211,House,6,Republican,Graves,1523
29211,House,6,Democratic,Shettles,801
29211,House,6,Libertarian,Buck,43
29211,House,6,Progressive Party of Missouri,Yurkonis,17
29213,Senate,None,Republican,Talent,9032
29213,Senate,None,Democratic,McCaskill,5187
29213,Senate,None,Libertarian,Gilmour,502
29213,Senate,None,Progressive Party of Missouri,Lewis,194
29213,House,7,Republican,Blunt,7631
29213,House,7,Democratic,Truman,2717
29213,House,72,Libertarian,Craig,319
29213,House,7,Write-in/Scattering,Miller,2
29213,House,8,Republican,Emerson,2817
29213,House,8,Democratic,Hambacker,1121
29213,House,8,Libertarian,McCullough,145
29215,Senate,None,Republican,Talent,4749
29215,Senate,None,Democratic,McCaskill,2786
29215,Senate,None,Libertarian,Gilmour,379
29215,Senate,None,Progressive Party of Missouri,Lewis,106
29215,House,8,Republican,Emerson,6493
29215,House,8,Democratic,Hambacker,2321
29215,House,8,Libertarian,McCullough,221
29217,Senate,None,Republican,Talent,4131
29217,Senate,None,Democratic,McCaskill,2738
29217,Senate,None,Libertarian,Gilmour,196
29217,Senate,None,Progressive Party of Missouri,Lewis,73
29217,House,4,Republican,Noland,2048
29217,House,4,Democratic,Skelton,4881
29217,House,4,Libertarian,Holthouse,109
29219,Senate,None,Republican,Talent,5931
29219,Senate,None,Democratic,McCaskill,5118
29219,Senate,None,Libertarian,Gilmour,206
29219,Senate,None,Progressive Party of Missouri,Lewis,84
29219,House,9,Republican,Hulsof,6502
29219,House,9,Democratic,Burghard,4323
29219,House,9,Libertarian,Hedrick,199
