id,q44_%dd,q44_%dr,q44_%dtotal,
29185,4,House,6,
29186,3,House,0,
29187,8,House,0,
29189,1,House,0,
29189,2,House,0,
29189,3,House,0,
29195,4,House,0,
29197,9,House,0,
29199,9,House,6,
29201,8,House,23,
29203,8,House,0,
29205,9,House,0,
29207,8,House,10,
29209,7,House,0,
29211,6,House,0,
29213,7,House,0,
29213,8,House,0,
29215,8,House,0,
29217,4,House,1,
29219,9,House,0,
29221,8,House,0,
29223,8,House,5,
29225,4,House,3,
29227,6,House,0,
29229,8,House,0,
2938000,5,House,7,
29510,1,House,4,
29510,3,House,1,
28005,0,,None,
28015,2,House,4,
28019,1,House,0,
28029,2,House,0,
28039,4,Senate,0,
28041,4,Senate,0,
28041,4,House,0,
28045,4,House,0,
28059,4,House,2,
28081,1,House,1,
28113,3,House,1,
28163,2,House,1,
30001,0,Senate,0,
30001,0,House,0,
30003,1,Senate,8,
30003,1,House,7,
30005,1,Senate,0,
30005,1,House,0,
30007,1,Senate,0,
30007,1,House,0,
30009,1,Senate,0,
30009,1,House,0,
30011,1,Senate,0,
30011,1,House,0,
30013,1,Senate,6,
30013,1,House,13,
30015,1,Senate,0,
30015,1,House,0,
30017,1,Senate,1,
30017,1,House,1,
30019,1,Senate,0,
30019,1,House,0,
30021,1,Senate,0,
30021,1,House,0,
30025,1,Senate,0,
30025,1,House,0,
30027,1,Senate,0,
30027,1,House,0,
30029,1,Senate,6,
30029,1,House,4,
30031,1,Senate,17,
30031,1,House,16,
30033,1,Senate,0,
30033,1,House,0,
30035,1,Senate,5,
30035,1,House,6,
30037,1,Senate,0,
30037,1,House,0,
30039,1,Senate,1,
30039,1,House,1,
30041,1,Senate,3,
30041,1,House,2,
30043,1,Senate,0,
30043,1,House,0,
30045,1,Senate,0,
30045,1,House,0,
30047,1,Senate,0,
30047,1,House,0,
30049,1,Senate,0,
30049,1,House,0,
30051,1,Senate,0,
30051,1,House,0,
30053,1,Senate,0,
30053,1,House,0,
30055,1,Senate,0,
30055,1,House,0,
30057,1,Senate,0,
30057,1,House,0,
30059,1,Senate,0,
30059,1,House,0,
30061,1,Senate,0,
30061,1,House,0,
30063,1,Senate,4,
30063,1,House,4,
30065,1,Senate,0,
30065,1,House,0,
30067,1,Senate,0,
30067,1,House,0,
30069,1,Senate,0,
30069,1,House,0,
30071,1,Senate,0,
30071,1,House,0,
30073,1,Senate,0,
30073,1,House,0,
30075,1,Senate,0,
30075,1,House,0,
30077,1,Senate,0,
30077,1,House,0,
30079,1,Senate,0,
30079,1,House,0,
30081,1,Senate,1,
30081,1,House,0,
30083,1,Senate,0,
30083,1,House,0,
30085,1,Senate,1,
30085,1,House,0,
30087,1,Senate,22,
30087,1,House,0,
30089,1,Senate,0,
30089,1,House,0,
30091,1,Senate,0,
30091,1,House,0,
30093,1,Senate,0,
30093,1,House,0,
30095,1,Senate,0,
30095,1,House,0,
30097,1,Senate,0,
30097,1,House,0,
30099,1,Senate,0,
30099,1,House,0,
30101,1,Senate,0,
30101,1,House,0,
30103,1,Senate,0,
30103,1,House,0,
30105,1,Senate,5,
30105,1,House,2,
30107,1,Senate,0,
30107,1,House,0,
30109,1,Senate,0,
30109,1,House,0,
