id,state,county,place,q33a,q33a_nnn,q33comment,q33dc,q33dc_nnn,q33dm,q33dm_nnn,q33e,q33e_nnn,q33f,q33f_nnn,q33oc,q33oc_nnn,q33om,q33om_nnn,q33p,q33p_nnn,q33total,q33uototal,q33uototal_nnn,q34a,q34a_nnn,q34comment,q34dc,q34dc_nnn,q34dm,q34dm_nnn,q34e,q34e_nnn,q34f,q34f_nnn,q34oc,q34oc_nnn,q34om,q34om_nnn,q34p,q34p_nnn,q34total,q34uototal,q34uototal_nnn,q36comment,q36total,q36total_nnn,q37av,q37av_nnn,q37b,q37b_nnn,q37comment,q37d,q37d_nnn,q37e,q37e_nnn,q37ib,q37ib_nnn,q37iv,q37iv_nnn,q37mb,q37mb_nnn,q37mo,q37mo_nnn,q37ni,q37ni_nnn,q37nm,q37nm_nnn,q37nr,q37nr_nnn,q37ns,q37ns_nnn,q37o,q37o_nnn,q37other,q37r,q37r_nnn,q37total,q37wj,q37wj_nnn,q37wp,q37wp_nnn,q41av,q41av_nnn,q41bm,q41bm_nnn,q41bn,q41bn_nnn,q41br,q41br_nnn,q41bre,q41bre_nnn,q41brn,q41brn_nnn,q41comment,q41en,q41en_nnn,q41f,q41f_nnn,q41i,q41i_nnn,q41m,q41m_nnn,q41nb,q41nb_nnn,q41ne,q41ne_nnn,q41nr,q41nr_nnn,q41ns,q41ns_nnn,q41nv,q41nv_nnn,q41nw,q41nw_nnn,q41o,q41o_nnn,q41other,q41sb,q41sb_nnn,q41total,q41vd,q41vd_nnn
01000,Alabama,,,None,,,None,,None,,None,,None,,None,,None,,None,,0,None,,None,,,None,,None,,None,,None,,None,,None,,None,,0,None,,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01001,Alabama,Autauga County,,None,Check if your office does not collect this data,,None,,None,,None,,None,,None,,None,,None,,0,None,,13835,,,None,,None,,None,,None,,None,,None,,0,,13835,None,,,1,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01003,Alabama,Baldwin County,,None,Check if your office does not collect this data,,None,,None,,None,,None,,None,,None,,168,,168,None,,None,Check if your office does not collect this data,,None,,None,,None,,None,,None,,None,,49,,49,None,,,119,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01005,Alabama,Barbour County,,6113,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,11,,6124,None,,6331,,,None,,None,,None,,None,,None,,None,,None,,6331,None,,,2,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01007,Alabama,Bibb County,,5635,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,3,,5638,None,,5635,,,None,,None,,None,,None,,None,,None,,0,,5635,None,,,3,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01009,Alabama,Blount County,,None,Don't know,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,29,,29,None,,13974,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,3,,13977,None,,,26,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01011,Alabama,Bullock County,,3066,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,6,,3072,None,,3066,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,0,,3066,None,,,6,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01013,Alabama,Butler County,,6704,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,16,,6720,None,,6704,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,2,,6706,None,,,14,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01015,Alabama,Calhoun County,,29537,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,63,,29600,None,,29537,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,6,,29543,None,,,57,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01017,Alabama,Chambers County,,505,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,6,,511,None,,505,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,0,,505,None,,,6,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01019,Alabama,Cherokee County,,7071,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,11,,7082,None,,7071,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,3,,7074,None,,,8,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01021,Alabama,Chilton County,,11942,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,16,,11958,None,,11942,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,8,,11950,None,,,8,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01023,Alabama,Choctaw County,,4963,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,1,,4964,None,,4963,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,1,,4964,None,,,0,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01025,Alabama,Clarke County,,8963,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,9,,8972,None,,8963,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,7,,8970,None,,,2,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01027,Alabama,Clay County,,4649,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,1,,4650,None,,4649,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,0,,4649,None,,,1,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01029,Alabama,Cleburne County,,4041,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,10,,4051,None,,4041,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,None,,4041,None,,,9,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01031,Alabama,Coffee County,,12981,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,24,,13005,None,,12981,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,12,,12993,None,,,12,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
01033,Alabama,Colbert County,,15398,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,18,,15416,None,,15398,,,None,,None,,None,Check if your office does not collect this data,None,,None,,None,,2,,15400,None,,,16,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,,None,,None,,None,,None,,None,,None,,None,,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,None,,,None,,0,None,
