,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
0,Morgan,AL,119089,42522,45605,7421,13754,14793,15950,12050,5867,2547,119089,92884,17794,807,1047,0,8200,15064,15228,16415,ALABAMA,75334,39636,39.0,273.0,12,101.7580375394773
1,Kings,CA,151366,53103,42321,11790,25319,21572,17598,8751,5250,1412,151366,101386,12375,2931,8058,615,31573,22809,22464,14401,CALIFORNIA,52631,30606,24.0,114.0,12,37.42889171780179
2,Monterey,CA,435594,116568,114453,31653,61898,57220,51007,34393,16735,8363,435594,218580,15458,9383,34939,5405,171031,62212,63820,48293,CALIFORNIA,187350,117631,84.0,934.0,12,301.51224979982373
3,Nevada,CA,99696,39033,40665,3523,9913,11461,11607,17493,7101,3152,99696,95203,825,2522,3066,0,2420,8370,10297,16779,CALIFORNIA,68954,54996,8.0,46.0,12,3.842561707804647
4,Shasta,CA,180040,66476,69851,10406,22402,20206,20670,21481,11594,3952,180040,160377,3596,8371,7381,1058,7172,21775,20858,26696,CALIFORNIA,101782,70851,84.0,347.0,12,206.1912715411167
5,Yuba,CA,78041,25566,26846,5223,12263,9488,8455,5796,2558,1029,78041,64633,4742,3644,6229,1458,3252,11214,12016,9999,CALIFORNIA,33754,19643,20.0,144.0,12,61.432719085127275
6,Douglas,CO,342776,120673,123465,17236,38066,51438,55309,25884,10289,3749,342776,314710,6430,3651,23122,0,5268,44118,52985,43702,COLORADO,226015,181079,16.0,103.0,12,5.249917040904132
7,Kent,DE,178550,63439,70009,11898,23990,20496,22390,17338,9494,2980,178550,124330,52096,3845,6016,0,2301,21311,25185,23468,DELAWARE,118139,60230,43.0,871.0,12,228.25789959283318
8,New Castle,DE,559335,195650,213272,36356,81197,69112,74341,51061,25867,10165,559335,365076,152997,3623,35393,459,16030,63346,72606,75284,DELAWARE,392189,212978,179.0,2362.0,12,776.1935189411029
9,Nassau,FL,85832,33386,34407,3182,9429,10496,11482,11571,6057,1159,85832,79380,5965,0,1296,0,0,7874,10926,13656,FLORIDA,66798,44000,14.0,154.0,12,23.23901913230587
10,St. Lucie,FL,321128,117730,123235,18376,35264,37508,38530,42687,26827,7694,321128,240796,70423,2489,7771,519,9957,33479,35206,45557,FLORIDA,203131,125269,50.0,431.0,12,76.38420526654836
11,Santa Rosa,FL,179349,69923,67215,10532,24393,23732,24097,17369,8933,2114,179349,160080,13727,3637,6247,1127,3666,20689,22301,25189,FLORIDA,132357,76259,31.0,323.0,12,54.469049615807656
12,Adams,IL,65691,24660,25974,3452,8430,7437,7655,6908,4522,1867,65691,61932,3375,0,813,0,0,8558,7606,9256,ILLINOIS,47394,25260,34.0,211.0,12,108.98594758827933
13,St. Clair,IL,261059,92291,103196,14880,34925,33096,33438,23697,12563,4693,261059,173015,83163,2328,6199,191,4495,31022,35992,36753,ILLINOIS,174585,94137,126.0,809.0,12,420.3825070882137
14,Williamson,IL,67056,26006,25584,2928,8675,8398,9035,7234,4104,1224,67056,61535,3310,876,1119,0,1607,8747,7435,9276,ILLINOIS,45987,27847,43.0,255.0,12,171.6746036923105
15,Delaware,IN,114772,43828,48798,16240,13320,10916,12943,11005,5741,3185,114772,104142,9682,782,2328,470,669,12918,14853,13651,INDIANA,71423,38201,55.0,404.0,12,223.99507161555465
16,Hendricks,IN,167009,59609,61573,9077,20258,25560,23549,13788,7245,1884,167009,147621,14201,0,6227,0,0,23398,21935,20315,INDIANA,106369,63270,27.0,220.0,12,40.207203226500184
17,Madison,IN,129641,49553,50295,7917,16842,15393,17100,13697,7050,2891,129641,116197,13298,666,772,0,1515,14554,16802,17395,INDIANA,82185,44583,113.0,560.0,12,554.3785362291715
18,Johnson,KS,597555,206385,220308,34568,81708,83718,77791,52636,22772,11116,597555,530353,35868,5869,35970,505,8339,77472,80975,74799,KANSAS,372526,273943,195.0,1738.0,12,655.0286422960905
19,Kenton,KY,166051,59975,62906,10208,25071,21064,20021,14905,6636,2487,166051,151956,10256,804,2764,0,4404,24838,18640,22181,KENTUCKY,133847,54227,68.0,420.0,12,153.63213221064694
20,Warren,KY,131264,45331,47867,13299,17980,15343,15486,10748,4963,1651,131264,110498,13785,2043,6380,0,3325,15656,21648,14490,KENTUCKY,81978,40301,60.0,369.0,12,194.45217009439185
21,Lafayette Parish,LA,242782,85425,93575,17005,37160,32162,29349,19487,8983,3394,242782,171575,66917,2419,5593,0,1284,33038,31885,30319,LOUISIANA,147170,78783,54.0,606.0,12,160.09567167220493
22,Charles,MD,161503,57215,63558,11026,20860,20140,25704,12206,5389,2322,161503,73638,82732,4123,7269,0,1874,20672,21385,21799,MARYLAND,112134,65553,43.0,587.0,12,162.06966664881642
23,Frederick,MD,255648,91262,93018,15266,32605,33575,36628,22016,10175,4629,255648,215162,29364,1835,14278,0,3602,31955,34131,34668,MARYLAND,172907,108782,66.0,741.0,12,203.6488979624767
24,Eaton,MI,109826,41964,43878,6798,13962,13824,13779,12199,6171,1910,109826,97935,8926,1261,3225,0,1454,11540,13670,15973,MICHIGAN,73317,51778,40.0,430.0,12,168.91034821389735
25,Grand Traverse,MI,92573,35432,37383,4531,11662,10943,11873,11168,4526,2684,92573,89753,1163,1835,1048,496,581,9336,11572,14278,MICHIGAN,67948,49507,31.0,268.0,12,88.03437923116384
26,Jackson,MI,158823,62799,60868,9664,20188,18573,21102,16937,8341,3269,158823,142999,15534,1568,1932,0,1432,16884,21147,22718,MICHIGAN,97408,61768,39.0,461.0,12,132.89339684624127
27,Kalamazoo,MI,264870,96738,103127,31953,35704,30912,28859,23674,11729,4425,264870,225196,37729,4460,9116,990,3041,30857,35762,30995,MICHIGAN,174475,116257,88.0,883.0,12,320.6584324401593
28,Muskegon,MI,173588,65499,66666,10141,23745,20718,21100,17589,8589,3263,173588,146227,27479,3409,1932,0,1070,21423,22296,24724,MICHIGAN,111803,70337,65.0,470.0,12,196.73890682716953
29,Ottawa,MI,290494,105611,110743,27379,34754,33628,34181,24574,13513,5329,290494,265003,8326,3306,10658,0,12092,38690,43416,35030,MICHIGAN,182656,130019,71.0,861.0,12,240.96837771547382
30,Anoka,MN,353813,129672,129360,19553,45363,48210,48999,30693,14779,4354,353813,305923,28676,5059,19904,0,6259,44092,48305,49465,MINNESOTA,216518,160682,114.0,1216.0,12,460.97451482091736
31,Carver,MN,103551,35942,37908,5906,11176,14907,15175,7705,4461,514,103551,97732,2811,834,4108,342,553,13470,16598,13639,MINNESOTA,65210,51452,29.0,398.0,12,127.43812298725234
32,Olmsted,MN,156277,53280,58256,9094,21943,20757,18795,13199,7613,3483,156277,134433,11709,547,11804,0,2114,20680,20378,20335,MINNESOTA,93811,72097,68.0,836.0,12,436.30874844096786
