,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
0,alabama,autauga,1770,12370.150000000001,106395.0,11315.0,360.0,1030.0,1015.0,35695.0,20595.0,35380.0,14080.0,15955.0,1150.0,9420.0,17195.0,3790.0,15415.0,5385.0,1370.0,7950.0,8515.0,21215.0,10560.0,5540.0,14200.0
1,alabama,baldwin,22320,66543.65,322295.0,40555.0,1205.0,5555.0,3830.0,123755.0,68935.0,105525.0,52935.0,41450.0,7310.0,42050.0,36150.0,14420.0,54070.0,21020.0,6800.0,26890.0,38745.0,70360.0,37390.0,19355.0,18040.0
2,alabama,barbour,10890,427725.0,38155.0,7125.0,150.0,1135.0,805.0,13170.0,7755.0,10575.0,5125.0,12920.0,2030.0,3145.0,14000.0,630.0,6185.0,3925.0,405.0,1880.0,1940.0,7435.0,2895.0,1960.0,3115.0
3,alabama,bibb,5490,2000.4999999999998,40460.0,5005.0,250.0,420.0,595.0,9860.0,6490.0,11230.0,9115.0,12400.0,1875.0,5225.0,8840.0,1115.0,6730.0,5120.0,395.0,2810.0,2295.0,6745.0,1930.0,4055.0,1960.0
4,alabama,blount,13815,22675.3,96675.0,17105.0,65.0,1760.0,385.0,30460.0,19800.0,31660.0,19465.0,22145.0,3920.0,13585.0,20730.0,4740.0,14290.0,8600.0,1760.0,5715.0,8270.0,21640.0,8005.0,7240.0,5035.0
5,alabama,bullock,5055,142840.0,16735.0,3025.0,0.0,370.0,290.0,4570.0,3340.0,5230.0,2555.0,5855.0,2260.0,2535.0,3970.0,625.0,2715.0,1735.0,590.0,155.0,395.0,3115.0,1220.0,530.0,1705.0
6,alabama,butler,16515,428895.0,34555.0,3490.0,170.0,225.0,610.0,9050.0,7225.0,10600.0,4580.0,9235.0,1525.0,2290.0,9130.0,1060.0,5300.0,2105.0,505.0,1985.0,2065.0,7180.0,3585.0,895.0,3065.0
7,alabama,calhoun,72385,149335.89999999997,199025.0,22080.0,760.0,2390.0,3795.0,66105.0,38350.0,56645.0,28390.0,49110.0,2295.0,13040.0,43970.0,6030.0,28330.0,12195.0,4230.0,8690.0,16965.0,47860.0,20810.0,11840.0,22345.0
8,alabama,chambers,25515,429420.0,54640.0,8225.0,130.0,385.0,770.0,16060.0,9550.0,17600.0,9440.0,15745.0,820.0,6700.0,16575.0,1360.0,8325.0,3785.0,1970.0,2545.0,6110.0,11715.0,3185.0,3455.0,1850.0
9,alabama,cherokee,18135,286760.15,39850.0,8650.0,0.0,250.0,1550.0,13265.0,8020.0,10645.0,7385.0,13425.0,1220.0,4535.0,13080.0,1550.0,6225.0,3490.0,745.0,1530.0,1075.0,10310.0,3025.0,3650.0,2305.0
10,alabama,chilton,28890,27165.3,73200.0,14070.0,80.0,940.0,770.0,21445.0,13505.0,20745.0,17705.0,18475.0,2745.0,12465.0,12905.0,3565.0,10520.0,7645.0,755.0,4530.0,6170.0,14085.0,4610.0,6075.0,5805.0
11,alabama,choctaw,13490,191370.0,17055.0,3280.0,35.0,190.0,295.0,6605.0,2300.0,4705.0,4650.0,4130.0,1870.0,2765.0,3460.0,85.0,3265.0,1400.0,180.0,640.0,780.0,4710.0,1055.0,950.0,1230.0
12,alabama,clarke,31815,431000.4500000002,36160.0,2755.0,120.0,295.0,375.0,11410.0,6110.0,8205.0,5655.0,9425.0,2410.0,3440.0,7990.0,655.0,5355.0,2230.0,450.0,2395.0,1015.0,8750.0,2615.0,1780.0,1720.0
13,alabama,clay,14790,191810.0,21870.0,3985.0,55.0,265.0,75.0,6790.0,3350.0,5330.0,4925.0,8325.0,1315.0,1600.0,9275.0,885.0,1945.0,1680.0,480.0,965.0,980.0,5185.0,980.0,1570.0,1860.0
14,alabama,cleburne,15190,191930.0,21865.0,3770.0,0.0,540.0,365.0,7005.0,4315.0,5230.0,5840.0,6015.0,1590.0,4230.0,5280.0,970.0,3175.0,1035.0,615.0,860.0,1520.0,5120.0,1270.0,1350.0,1390.0
15,alabama,coffee,56315,7515.1500000000015,86635.0,10000.0,65.0,1605.0,1745.0,31245.0,13220.0,23240.0,14190.0,14795.0,4525.0,7145.0,11355.0,2540.0,13495.0,6925.0,665.0,5500.0,6325.0,19525.0,6355.0,4090.0,8245.0
16,alabama,colbert,61215,14430.700000000008,96365.0,11745.0,190.0,1425.0,1215.0,31310.0,17020.0,30905.0,13320.0,21735.0,2035.0,9235.0,19245.0,4465.0,14180.0,8030.0,2050.0,4365.0,7700.0,23655.0,8065.0,6675.0,4590.0
17,alabama,conecuh,23050,240100.0,18980.0,2795.0,0.0,0.0,105.0,4760.0,3340.0,6145.0,2925.0,5075.0,750.0,2110.0,4580.0,645.0,2965.0,2500.0,350.0,630.0,660.0,4175.0,585.0,655.0,1640.0
18,alabama,coosa,14130,144165.0,16135.0,2730.0,165.0,120.0,280.0,4705.0,3980.0,4280.0,2910.0,5760.0,745.0,3050.0,6305.0,70.0,1950.0,1145.0,0.0,640.0,1045.0,4020.0,1195.0,550.0,920.0
19,alabama,covington,68915,673615.0,61605.0,9040.0,10.0,1435.0,3160.0,19300.0,11215.0,18900.0,13635.0,15540.0,5370.0,7210.0,13365.0,2645.0,9740.0,6430.0,810.0,2505.0,4685.0,13705.0,4560.0,4445.0,3120.0
20,alabama,crenshaw,31035,289095.0,23470.0,3445.0,0.0,410.0,435.0,8165.0,4295.0,6760.0,4430.0,5685.0,2615.0,2895.0,4415.0,1220.0,3085.0,1965.0,520.0,1185.0,1110.0,5150.0,1850.0,1255.0,2070.0
21,alabama,cullman,98505,868435.1500000001,132760.0,25250.0,205.0,1500.0,1545.0,43715.0,26290.0,40675.0,26560.0,33880.0,6900.0,16035.0,31490.0,5685.0,21330.0,11430.0,2405.0,8005.0,9065.0,33230.0,10745.0,9440.0,5360.0
22,alabama,dale,82215,14495.300000000005,89840.0,11800.0,340.0,3205.0,1410.0,26000.0,17265.0,23805.0,17305.0,16110.0,1500.0,8180.0,10775.0,2455.0,10930.0,11865.0,1455.0,3750.0,6825.0,18575.0,10340.0,5435.0,8400.0
23,alabama,dallas,93525,717500.3000000002,63560.0,8815.0,65.0,1020.0,1280.0,19395.0,12330.0,16905.0,8475.0,19760.0,1295.0,4975.0,16230.0,1650.0,8810.0,4195.0,745.0,2920.0,3925.0,16740.0,3475.0,6005.0,5900.0
24,alabama,dekalb,92365,672525.0,113250.0,19015.0,195.0,1890.0,1230.0,31205.0,19330.0,29060.0,19755.0,43830.0,4825.0,9315.0,45450.0,4930.0,16490.0,6195.0,1120.0,5675.0,6870.0,22680.0,9100.0,5920.0,4610.0
25,alabama,elmore,104400,23035.3,136650.0,18490.0,260.0,1430.0,1335.0,54820.0,23285.0,42485.0,20450.0,22660.0,1425.0,14580.0,20490.0,4060.0,18035.0,9845.0,1760.0,10625.0,14550.0,30295.0,10250.0,10260.0,17525.0
26,alabama,escambia,65340,436625.0,53480.0,7695.0,220.0,710.0,915.0,16790.0,13070.0,15270.0,9895.0,11190.0,2145.0,6395.0,11250.0,1100.0,8545.0,3315.0,1470.0,2690.0,2010.0,13675.0,5600.0,2605.0,5415.0
27,alabama,etowah,232425,9130.600000000008,170490.0,21560.0,120.0,1695.0,710.0,60525.0,35595.0,48735.0,22570.0,39230.0,1855.0,15385.0,34385.0,6610.0,23035.0,10210.0,2480.0,8450.0,15335.0,51630.0,16140.0,10545.0,10595.0
28,alabama,fayette,40925,5050.0,28450.0,3715.0,70.0,485.0,100.0,8195.0,4645.0,7020.0,3720.0,10400.0,2055.0,1865.0,8730.0,1095.0,4470.0,2430.0,310.0,805.0,1955.0,6565.0,1730.0,1175.0,795.0
29,alabama,franklin,75240,437985.0,52085.0,10880.0,115.0,605.0,965.0,14190.0,9680.0,14425.0,10365.0,18325.0,2140.0,5020.0,21945.0,1510.0,7340.0,3190.0,545.0,2525.0,1840.0,12285.0,3555.0,2920.0,2170.0
30,alabama,geneva,51285,15105.0,45140.0,5340.0,0.0,440.0,550.0,12630.0,8440.0,13305.0,10230.0,11320.0,3030.0,6675.0,8955.0,2360.0,7920.0,2890.0,170.0,920.0,2380.0,11675.0,2750.0,2725.0,3475.0
31,alabama,greene,25980,9015.0,10350.0,2445.0,405.0,600.0,215.0,3225.0,2410.0,2700.0,2180.0,3900.0,260.0,1620.0,1645.0,350.0,800.0,1535.0,85.0,735.0,915.0,2680.0,1850.0,1165.0,775.0
32,alabama,hale,52635,12075.0,23345.0,4240.0,135.0,595.0,250.0,7095.0,5515.0,5330.0,4675.0,7460.0,2640.0,1825.0,6600.0,550.0,2530.0,1045.0,235.0,960.0,1930.0,6635.0,1405.0,1870.0,1850.0
33,alabama,henry,53535,9105.0,30875.0,1860.0,145.0,100.0,685.0,8935.0,6375.0,8950.0,4585.0,6825.0,1605.0,2205.0,6570.0,1275.0,3375.0,2295.0,370.0,1435.0,2145.0,8010.0,2195.0,2360.0,1830.0
34,alabama,houston,203995,45115.299999999996,187835.0,18200.0,580.0,1295.0,4040.0,65435.0,36340.0,60230.0,26170.0,31185.0,3050.0,15260.0,23350.0,8905.0,31510.0,18505.0,4240.0,9790.0,14445.0,48320.0,19795.0,12890.0,9300.0
35,alabama,jackson,106535,522830.0,93190.0,11410.0,230.0,1050.0,755.0,25615.0,16835.0,23230.0,15720.0,29835.0,2400.0,8790.0,29440.0,2640.0,14780.0,7100.0,635.0,4305.0,5430.0,20260.0,6450.0,5405.0,3600.0
36,alabama,jefferson,1933180,74155.39999999985,1231410.0,164525.0,15985.0,18215.0,9365.0,538255.0,235765.0,430135.0,125880.0,175055.0,8800.0,99500.0,136980.0,59370.0,174295.0,72280.0,44330.0,134975.0,161195.0,354000.0,120425.0,76275.0,62665.0
37,alabama,lamar,41805,4515.0,23865.0,2330.0,130.0,480.0,35.0,6855.0,4205.0,5500.0,3865.0,7920.0,590.0,2130.0,7035.0,365.0,2945.0,3300.0,320.0,995.0,880.0,5280.0,1620.0,1640.0,1245.0
